x,y,phi_deg,sigma_dBsm,rho
15.559409621797371,28.66586030388898,61.50753768844221,25.763575229294485,32.61635747199492
14.109553110861972,28.07396285861624,63.31658291457286,24.567384522853164,31.4201667655536
12.721386609675232,27.43801134143958,65.12562814070351,23.390864092452198,30.243646335152633
11.581165085532087,27.197257225568627,66.93467336683418,22.707565950987885,29.56034819368832
10.816154766043288,27.804671461881362,68.74371859296483,22.98157645706318,29.834358699763616
10.30949046719545,29.19852921132479,70.55276381909549,24.11235463408054,30.965136876780974
9.833970481278202,30.929058013978498,72.36180904522614,25.602011009740696,32.454793252441135
9.259115724862463,32.65760370681056,74.17085427135677,27.09203037833906,33.944812621039496
8.550205052077333,34.24181945424327,75.97989949748744,28.44039281947783,35.293175062178264
7.712538816729671,35.638611581202944,77.78894472361809,29.610814541426805,36.46359678412724
6.762659800661591,36.83955647453146,79.59798994974874,30.602344092951903,37.45512633565234
5.718837429304309,37.845478917909475,81.4070351758794,31.422345138782468,38.2751273814829
4.598734660768411,38.658426570856214,83.21608040201005,32.07821190610643,38.93099414880687
3.4191790123321777,39.27977886062171,85.0251256281407,32.575530077987565,39.428312320688
2.196387672582361,39.71018147888816,86.83417085427136,32.91809443728368,39.77087667998411
0.9462029261258998,39.94983984878515,88.64321608040201,33.10826133627772,39.961043578978156
-0.3157346763885324,39.998753875766255,90.45226130653266,33.147217757299565,40.0
-1.5738565403958686,39.85683065026484,92.26130653266331,33.03511033002942,39.887892572729854
-2.812551930455217,39.52389846235542,94.07035175879396,32.771061564079446,39.62384380677988
-4.016047011141264,38.99963417956237,95.87939698492463,32.35308593714461,39.20586817984505
-5.168253509183745,38.28338734176113,97.68844221105527,31.77788680010163,38.63066904280207
-6.252561844685727,37.3739043610452,99.49748743718592,31.040531901224394,37.893314143924826
-7.2515891554019785,36.269136741390774,101.30653266331659,30.1341860737816,36.986968316482034
-8.1470806199087,34.96692421338211,103.11557788944724,29.050709392121096,35.903491634821535
-8.920834273146946,33.469069048658454,104.9246231155779,27.784767715586458,34.6375499582869
-9.55958737027248,31.795869677308655,106.73366834170854,26.349070705987067,33.2018529486875
-10.07213080077509,30.028013483911064,108.54271356783919,24.81943606700858,31.672218309709017
-10.533231897815691,28.396164140885173,110.35175879396985,23.434031920054533,30.28681416275497
-11.134325985691035,27.33727632898329,112.1608040201005,22.665007177288736,29.51778941998917
-12.08578498020421,27.183606580383184,113.96984924623115,22.896413801979186,29.74919604467962
-13.374817601530557,27.693167775008902,115.77889447236181,23.901035199838354,30.75381744253879
-14.814807604225662,28.35264741620988,117.58793969849246,25.13707771101201,31.989859953712447
-16.247791316398665,28.838732550206824,119.39698492462311,26.24802164124774,33.100803883948174
-17.58391283925331,29.02759600285077,121.20603015075376,27.085327905673697,33.938110148374136
-18.769339550573356,28.885606537378365,123.01507537688443,27.595241970553843,34.44802421325428
-19.762990639252628,28.409688864538715,124.82412060301507,27.754821262701125,34.607603505401556
-20.527224963224775,27.60653236056101,126.63316582914572,27.54907226640329,34.40185450910373
-21.027551083617585,26.490052504945094,128.44221105527637,26.96852444833229,33.821306691032724
-21.24222357313735,25.091212267334985,130.25125628140702,26.02275570537904,32.875537948079476
-21.190183867762496,23.484331309287015,132.0603015075377,24.778495148418948,31.631277391119383
-20.986662288537673,21.831734042392153,133.86934673366835,23.4302923256269,30.283074568327336
-20.881725772179035,20.393002991797925,135.678391959799,22.334904240609017,29.187686483309452
-21.11226652319551,19.35434571495071,137.48743718592965,21.788420521853165,28.6412027645536
-21.620889217773303,18.599208109496477,139.2964824120603,21.667270226879374,28.52005246957981
