theta_deg,sigma_dBsm,sigma_dBsm_anal,relative_error
136.5,7.392232216523752,7.408815346795673,0.0038111260104963227
137.0,7.0139135860046515,7.032029343809031,0.004162619568259499
137.5,6.581400587549211,6.6012141959486765,0.004551860671074771
138.0,6.08838338792965,6.110105277218867,0.004989162424219473
138.5,5.526896750585394,5.550798060714923,0.005488363638102276
139.0,4.886742830182077,4.9131782688810235,0.006068496547483495
139.5,4.154640684637877,4.1840832195879365,0.006756465957160081
140.0,3.3129386649792854,3.3460339461755595,0.007591507945864732
140.5,2.337607274819406,2.3752622497617586,0.008632899065368618
141.0,1.1950185735465315,1.2385517392739827,0.009973810185654238
141.5,-0.16333196457999405,-0.11192564561162535,0.01176696372785329
142.0,-1.8093617393724521,-1.7469345258417104,0.014271578721347636
142.5,-3.8499436470014317,-3.7714091978217095,0.01792070478553763
143.0,-6.422245084036327,-6.3202647314422915,0.023208290828795677
143.5,-9.488746984788186,-9.364891374209845,0.028115985473134448
144.0,-11.48663987042603,-11.422245875817485,0.014717882591983587
144.5,-9.665237535672414,-9.711413302771753,0.010689087732714495
145.0,-6.432842610550909,-6.496969167664368,0.014875236716551197
145.5,-3.642770996866843,-3.698265245373569,0.012860010712649743
146.0,-1.395779581907859,-1.4414677717505084,0.010575625238505807
146.5,0.44497144182780723,0.40711536336633236,0.008754785110222136
147.0,1.9911541081473618,1.9593222984242697,0.007356471917513993
147.5,3.3184064453648627,3.2912591400182496,0.00627047569523034
148.0,4.477827750402242,4.4543973006576,0.005409639976324586
148.5,5.504923610351245,5.484503037277032,0.004713082513927487
149.0,6.425173173246346,6.4072353430603854,0.0041388796406944695
149.5,7.257423131149034,7.241566516986381,0.003657793798891221
150.0,8.015997348747387,8.001909904152342,0.0032490206553213983
150.5,8.712046261217854,8.699481051103424,0.002897436027204115
151.0,9.354435663499862,9.343194114832427,0.0025918151991398243
151.5,9.950348313342916,9.940268470151466,0.0023236652023482175
152.0,10.505701241563376,10.49664936703943,0.0020864447371932715
152.5,11.025441532633964,11.017305993532588,0.0018750327855071454
153.0,11.513759923614764,11.506446660407331,0.0016853597092273817
153.5,11.974247539666194,11.967676658009443,0.0015141465791791808
154.0,12.410012459047353,12.404115626990166,0.0013587179810875722
154.5,12.823767368888912,12.81848580148977,0.0012168656169741843
155.0,13.217896076429717,13.213178954090676,0.0010867476407127894
155.5,13.594504343804806,13.590307554532739,0.0009668135047884445
156.0,13.955458977923232,13.951744103845883,0.0008557473102602673
156.5,14.302418060764605,14.29915155047333,0.0007524247198466316
157.0,14.636854480449617,14.634006963842374,0.0006558799244245034
157.5,14.960074411363522,14.957620124637849,0.0005652801134657427
158.0,15.273232021739929,15.271148318278225,0.00047990557076332536
158.5,15.577341412618752,15.575608341564973,0.00039913399013543304
159.0,15.873286581712891,15.87188652062417,0.000322427947937637
159.5,16.161830038604624,16.160747370062914,0.0002493247207221075
160.0,16.443620560189615,16.442841384933665,0.00017942782816584551
160.5,16.719200458745497,16.718712339915797,0.0001123998304749219
161.0,16.98901263431136,16.988804368925805,4.795602706970006e-5
161.5,17.25340759556074,17.253469010442863,1.4141199218495986e-5
162.0,17.512650557904493,17.512972328063164,7.408757245242296e-5
162.5,17.76692866398593,17.76750215194054,0.0001320417632483256
163.0,18.016358320125033,18.017175434966557,0.00018812994667786735
163.5,18.260992602766876,18.26204567786782,0.00024245010714537936
164.0,18.50082866131988,18.502110349626687,0.00029507609539505635
164.5,18.73581502730249,18.73731821308677,0.00034606142481567487
165.0,18.965858733301992,18.96757645916687,0.00039544278891416476
165.5,19.19083214736165,19.19275755518991,0.0004432432749908242
166.0,19.41057943726848,19.41270572173288,0.0004894752589993382
166.5,19.62492259289522,19.6272429660921,0.0005341429681577875
167.0,19.833666951412134,19.836174617162868,0.0005772447077167115
167.5,20.036606188116657,20.03929432450578,0.0006187747576423393
168.0,20.233526753431754,20.236388502203525,0.0006587249515718722
168.5,20.424211753167597,20.427240214690514,0.0006970859583491646
169.0,20.6084442836687,20.611632516287077,0.0007338482915437891
